"max","facilityname","concatenatedaddress","inspectionstatus"
"2016-05-27 00:00:00","LA FOGATA","11630 SOUTHWEST  FWY HOUSTON TX 77031","PASS"
"2015-08-08 00:00:00","STAR STOP 01","4 MAXEY RD HOUSTON TX 77013-4209","PASS"
"2015-12-22 00:00:00","PRIME EXPRESS","10403 CULLEN BLVD HOUSTON TX 77047","PASS"
"2015-07-31 00:00:00","EL EMILIANO ASADOR","1519 GESSNER HOUSTON TX 77080","PASS"
"2016-06-29 00:00:00","TORTAS EL ANGEL","1018 N SHEPHERD DR HOUSTON TX 77008","PASS"
"2015-10-06 00:00:00","KPOP RESTAURANT AND BAR","7620 KATY FWY STE 300 HOUSTON TX 77024","PASS"
"2016-03-21 00:00:00","LA UNION RESTAURANT","9575 WILCREST STE 350 HOUSTON TX 77099","PASS"
"2016-05-25 00:00:00","MATAMOROS MEAT MARKET","4818 IRVINGTON HOUSTON TX 77009","FAIL"
"2015-07-17 00:00:00","FIRST STOP FOOD STORE","9230 BUFFALO SPEEDWAY HOUSTON TX 77025","PASS"
"2015-10-29 00:00:00","THE HOUSTONIAN HOTEL","111 N POST OAK LN HOUSTON TX 77024","PASS"
"2016-06-08 00:00:00","LITTLE RED SCHOOL HOUSE","8238 TIDWELL HOUSTON TX 77028","PASS"
"2015-12-11 00:00:00","OUR DAILY BREAD PANTRY","4333 W LITTLE YORK HOUSTON TX 77091","PASS"
"2015-10-07 00:00:00","MARY'Z MEDITERRANEAN CUISINE","4500 WASHINGTON AVE STE 200 HOUSTON TX 77007","PASS"
"2016-04-26 00:00:00","ASHFORD ELEMENTARY","1815 SHANNON VALLEY HOUSTON TX 77077","PASS"
"2016-01-26 00:00:00","SAM'S BOAT","5720 RICHMOND HOUSTON TX 77057","FAIL"
"2015-11-05 00:00:00","LOS MANGOS DE LA INDIA BONITA-DIANA'S","4430 W W. OREM HOUSTON TX 77053","PASS"
"2015-07-15 00:00:00","EL REY RESTAURANT","910 SHEPHERD HOUSTON TX 77007","PASS"
"2016-01-13 00:00:00","UPTOWN SUSHI","1131 UPTOWN PARK BLVD STE 14 HOUSTON TX 77056","PASS"
"2016-03-22 00:00:00","COQUITOS RESTAURANT","6121 HILLCROFT STE V HOUSTON TX 77081","PASS"
"2015-11-09 00:00:00","NG FUNG HONG CO.","9188 BELLAIRE BLVD STE C HOUSTON TX 77036","PASS"
